Driver,GP,Tyres,From,To,#Laps,Year,
Fernando Alonso,Saudi Arabia,Hard Used,8,50,43,2024,
George Russell,Saudi Arabia,Medium New,1,7,7,2024,
George Russell,Saudi Arabia,Hard New,8,50,43,2024,
Oliver Bearman,Saudi Arabia,Soft New,1,7,7,2024,
Oliver Bearman,Saudi Arabia,Hard New,8,50,43,2024,
Lando Norris,Saudi Arabia,Medium New,1,37,37,2024,
Lando Norris,Saudi Arabia,Soft Used,38,50,13,2024,
Lewis Hamilton,Saudi Arabia,Medium New,1,36,36,2024,
Lewis Hamilton,Saudi Arabia,Soft Used,37,50,14,2024,
Nico Hulkenberg,Saudi Arabia,Medium New,1,33,33,2024,
Alexander Albon,Saudi Arabia,Medium New,1,7,7,2024,
Alexander Albon,Saudi Arabia,Hard New,8,50,43,2024,
Kevin Magnussen,Saudi Arabia,Medium New,1,7,7,2024,
Kevin Magnussen,Saudi Arabia,Hard New,8,50,43,2024,
Esteban Ocon,Saudi Arabia,Medium New,1,7,7,2024,
Esteban Ocon,Saudi Arabia,Hard New,8,49,42,2024,
Yuki Tsunoda,Saudi Arabia,Medium New,1,7,7,2024,
Yuki Tsunoda,Saudi Arabia,Hard New,8,49,42,2024,
Logan Sargeant,Saudi Arabia,Medium New,1,7,7,2024,
Logan Sargeant,Saudi Arabia,Hard New,8,49,42,2024,
Daniel Ricciardo,Saudi Arabia,Medium New,1,7,7,2024,
Daniel Ricciardo,Saudi Arabia,Hard New,8,49,42,2024,
Valtteri Bottas,Saudi Arabia,Soft New,1,7,7,2024,
Valtteri Bottas,Saudi Arabia,Hard New,8,35,28,2024,
Valtteri Bottas,Saudi Arabia,Soft New,36,49,14,2024,
Zhou Guanyu,Saudi Arabia,Medium New,1,41,41,2024,
Zhou Guanyu,Saudi Arabia,Soft New,42,49,8,2024,
Lance Stroll,Saudi Arabia,Medium Used,1,5,5,2024,
Pierre Gasly,Saudi Arabia,Medium New,1,1,1,2024,
Nico Hulkenberg,Saudi Arabia,Hard New,34,50,17,2024,
Carlos Sainz,Australia,Medium New,1,16,16,2024,
Carlos Sainz,Australia,Hard New,17,41,25,2024,
Carlos Sainz,Australia,Hard New,42,58,17,2024,
Charles Leclerc,Australia,Medium New,1,9,9,2024,
Charles Leclerc,Australia,Hard New,10,34,25,2024,
Charles Leclerc,Australia,Hard New,35,58,24,2024,
Lando Norris,Australia,Medium New,1,14,14,2024,
Lando Norris,Australia,Hard Used,15,40,26,2024,
Lando Norris,Australia,Hard Used,41,58,18,2024,
Oscar Piastri,Australia,Medium New,1,9,9,2024,
Oscar Piastri,Australia,Hard Used,10,39,30,2024,
Oscar Piastri,Australia,Hard Used,40,58,19,2024,
Sergio Perez,Australia,Medium New,1,14,14,2024,
Sergio Perez,Australia,Hard New,15,35,21,2024,
Sergio Perez,Australia,Hard New,36,58,23,2024,
Lance Stroll,Australia,Medium Used,1,8,8,2024,
Lance Stroll,Australia,Hard Used,38,58,21,2024,
Yuki Tsunoda,Australia,Medium New,1,9,9,2024,
Yuki Tsunoda,Australia,Hard New,10,36,27,2024,
Yuki Tsunoda,Australia,Hard New,37,58,22,2024,
Fernando Alonso,Australia,Hard Used,1,17,17,2024,
Fernando Alonso,Australia,Medium Used,18,41,24,2024,
Nico Hulkenberg,Australia,Hard New,1,17,17,2024,
Nico Hulkenberg,Australia,Medium New,18,35,18,2024,
Nico Hulkenberg,Australia,Hard New,36,58,23,2024,
Kevin Magnussen,Australia,Medium New,1,7,7,2024,
Kevin Magnussen,Australia,Hard New,8,33,26,2024,
Kevin Magnussen,Australia,Hard New,34,57,24,2024,
Alexander Albon,Australia,Medium New,1,6,6,2024,
Alexander Albon,Australia,Hard New,7,27,21,2024,
Alexander Albon,Australia,Hard New,28,57,30,2024,
Daniel Ricciardo,Australia,Soft New,1,5,5,2024,
Daniel Ricciardo,Australia,Hard New,6,29,24,2024,
Daniel Ricciardo,Australia,Hard New,30,57,28,2024,
Pierre Gasly,Australia,Medium New,1,17,17,2024,
Pierre Gasly,Australia,Hard New,18,41,24,2024,
Pierre Gasly,Australia,Hard New,42,57,16,2024,
Valtteri Bottas,Australia,Medium Used,1,8,8,2024,
Valtteri Bottas,Australia,Hard Used,9,36,28,2024,
Valtteri Bottas,Australia,Hard New,37,57,21,2024,
Zhou Guanyu,Australia,Soft New,1,6,6,2024,
Zhou Guanyu,Australia,Hard Used,7,35,29,2024,
Zhou Guanyu,Australia,Hard New,36,57,22,2024,
Esteban Ocon,Australia,Medium New,1,9,9,2024,
Esteban Ocon,Australia,Hard New,10,16,7,2024,
Esteban Ocon,Australia,Hard New,17,42,26,2024,
Esteban Ocon,Australia,Hard Used,43,57,15,2024,
George Russell,Australia,Medium New,1,8,8,2024,
George Russell,Australia,Hard New,9,45,37,2024,
George Russell,Australia,Hard New,46,56,11,2024,
Lewis Hamilton,Australia,Soft New,1,7,7,2024,
Max Verstappen,Australia,Medium New,1,3,3,2024,
Lewis Hamilton,Australia,Hard New,8,15,8,2024,
Fernando Alonso,Australia,Hard Used,42,58,17,2024,
Lance Stroll,Australia,Hard New,9,37,29,2024,
Max Verstappen,Japan,Medium New,1,16,16,2024,
Max Verstappen,Japan,Medium New,17,34,18,2024,
Max Verstappen,Japan,Hard New,35,53,19,2024,
Sergio Perez,Japan,Medium New,1,15,15,2024,
Sergio Perez,Japan,Medium New,16,33,18,2024,
Sergio Perez,Japan,Hard New,34,53,20,2024,
Carlos Sainz,Japan,Medium New,1,1,1,2024,
Carlos Sainz,Japan,Medium New,2,15,14,2024,
Carlos Sainz,Japan,Medium Used,16,36,21,2024,
Carlos Sainz,Japan,Hard New,37,53,17,2024,
Charles Leclerc,Japan,Medium New,1,1,1,2024,
Charles Leclerc,Japan,Medium New,2,26,25,2024,
Charles Leclerc,Japan,Hard New,27,53,27,2024,
Lando Norris,Japan,Medium New,1,11,11,2024,
Lando Norris,Japan,Hard New,12,26,15,2024,
Lando Norris,Japan,Hard New,27,53,27,2024,
Fernando Alonso,Japan,Soft New,1,13,13,2024,
Fernando Alonso,Japan,Medium New,14,33,20,2024,
Fernando Alonso,Japan,Hard New,34,53,20,2024,
George Russell,Japan,Medium New,1,1,1,2024,
George Russell,Japan,Hard New,2,22,21,2024,
George Russell,Japan,Hard New,23,37,15,2024,
George Russell,Japan,Medium Used,38,53,16,2024,
Oscar Piastri,Japan,Medium New,1,12,12,2024,
Oscar Piastri,Japan,Hard New,13,32,20,2024,
Oscar Piastri,Japan,Hard New,33,53,21,2024,
Lewis Hamilton,Japan,Medium New,1,1,1,2024,
Lewis Hamilton,Japan,Hard New,2,23,22,2024,
Lewis Hamilton,Japan,Hard New,24,39,16,2024,
Lewis Hamilton,Japan,Medium Used,40,53,14,2024,
Yuki Tsunoda,Japan,Medium New,1,1,1,2024,
Yuki Tsunoda,Japan,Soft Used,2,7,6,2024,
Yuki Tsunoda,Japan,Hard New,8,22,15,2024,
Yuki Tsunoda,Japan,Hard New,23,52,30,2024,
Nico Hulkenberg,Japan,Soft New,1,5,5,2024,
Nico Hulkenberg,Japan,Hard New,6,33,28,2024,
Nico Hulkenberg,Japan,Hard New,34,52,19,2024,
Lance Stroll,Japan,Soft New,1,1,1,2024,
Lance Stroll,Japan,Soft New,2,12,11,2024,
Lance Stroll,Japan,Medium New,13,22,10,2024,
Lance Stroll,Japan,Hard New,23,34,12,2024,
Lance Stroll,Japan,Soft New,35,52,18,2024,
Kevin Magnussen,Japan,Medium New,1,1,1,2024,
Kevin Magnussen,Japan,Hard New,23,52,30,2024,
Valtteri Bottas,Japan,Soft New,1,6,6,2024,
Valtteri Bottas,Japan,Hard New,23,52,30,2024,
Esteban Ocon,Japan,Soft New,1,1,1,2024,
Esteban Ocon,Japan,Hard New,2,19,18,2024,
Esteban Ocon,Japan,Hard New,20,33,14,2024,
Esteban Ocon,Japan,Medium New,34,52,19,2024,
Pierre Gasly,Japan,Soft New,1,1,1,2024,
Pierre Gasly,Japan,Hard New,2,16,15,2024,
Pierre Gasly,Japan,Medium New,17,32,16,2024,
Pierre Gasly,Japan,Hard New,33,52,20,2024,
Logan Sargeant,Japan,Soft New,1,1,1,2024,
Logan Sargeant,Japan,Hard New,2,22,21,2024,
Logan Sargeant,Japan,Hard New,23,34,12,2024,
Logan Sargeant,Japan,Medium New,35,41,7,2024,
Logan Sargeant,Japan,Soft New,42,52,11,2024,
Zhou Guanyu,Japan,Medium New,1,1,1,2024,
Zhou Guanyu,Japan,Soft New,2,7,6,2024,
Zhou Guanyu,Japan,Hard New,8,12,5,2024,
Daniel Ricciardo,Japan,Medium New,1,1,1,2024,
Alexander Albon,Japan,Soft New,1,1,1,2024,
Kevin Magnussen,Japan,Medium New,2,22,21,2024,
Valtteri Bottas,Japan,Hard New,7,22,16,2024,
Max Verstappen,China,Medium New,1,13,13,2024,
Max Verstappen,China,Hard New,14,23,10,2024,
Max Verstappen,China,Hard New,24,56,33,2024,
Lando Norris,China,Medium New,1,22,22,2024,
Lando Norris,China,Hard New,23,56,34,2024,
Sergio Perez,China,Medium New,1,13,13,2024,
Sergio Perez,China,Hard New,14,23,10,2024,
Sergio Perez,China,Hard New,24,56,33,2024,
Charles Leclerc,China,Medium New,1,21,21,2024,
Charles Leclerc,China,Hard New,22,56,35,2024,
Carlos Sainz,China,Medium New,1,17,17,2024,
Carlos Sainz,China,Hard New,18,56,39,2024,
George Russell,China,Medium New,1,11,11,2024,
George Russell,China,Medium New,12,23,12,2024,
George Russell,China,Hard New,24,56,33,2024,
Fernando Alonso,China,Medium New,1,11,11,2024,
Fernando Alonso,China,Hard New,12,23,12,2024,
Fernando Alonso,China,Soft New,24,43,20,2024,
Fernando Alonso,China,Medium New,44,56,13,2024,
Oscar Piastri,China,Medium New,1,16,16,2024,
Oscar Piastri,China,Medium Used,17,24,8,2024,
Oscar Piastri,China,Hard New,25,56,32,2024,
Lewis Hamilton,China,Soft New,1,9,9,2024,
Lewis Hamilton,China,Medium New,10,21,12,2024,
Lewis Hamilton,China,Hard New,22,56,35,2024,
Nico Hulkenberg,China,Medium New,1,8,8,2024,
Nico Hulkenberg,China,Hard New,9,23,15,2024,
Nico Hulkenberg,China,Hard New,24,56,33,2024,
Esteban Ocon,China,Medium New,1,9,9,2024,
Esteban Ocon,China,Hard New,10,23,14,2024,
Esteban Ocon,China,Hard New,24,56,33,2024,
Alexander Albon,China,Medium New,1,9,9,2024,
Alexander Albon,China,Medium New,10,23,14,2024,
Alexander Albon,China,Hard New,24,56,33,2024,
Pierre Gasly,China,Medium New,1,11,11,2024,
Pierre Gasly,China,Hard New,12,23,12,2024,
Pierre Gasly,China,Hard New,24,38,15,2024,
Pierre Gasly,China,Medium New,39,56,18,2024,
Zhou Guanyu,China,Medium New,1,8,8,2024,
Zhou Guanyu,China,Hard New,9,23,15,2024,
Zhou Guanyu,China,Hard New,24,40,17,2024,
Zhou Guanyu,China,Soft New,41,56,16,2024,
Lance Stroll,China,Soft New,1,9,9,2024,
Lance Stroll,China,Medium New,10,21,12,2024,
Lance Stroll,China,Hard New,22,26,5,2024,
Lance Stroll,China,Medium New,27,35,9,2024,
Lance Stroll,China,Hard Used,36,56,21,2024,
Kevin Magnussen,China,Hard New,1,17,17,2024,
Kevin Magnussen,China,Hard New,18,26,9,2024,
Kevin Magnussen,China,Medium New,27,56,30,2024,
Logan Sargeant,China,Medium New,13,24,12,2024,
Logan Sargeant,China,Hard New,25,56,32,2024,
Daniel Ricciardo,China,Medium New,1,14,14,2024,
Daniel Ricciardo,China,Medium New,15,33,19,2024,
Yuki Tsunoda,China,Soft New,1,8,8,2024,
Yuki Tsunoda,China,Medium New,9,23,15,2024,
Yuki Tsunoda,China,Hard New,24,26,3,2024,
Valtteri Bottas,China,Medium New,1,9,9,2024,
Valtteri Bottas,China,Hard New,10,19,10,2024,
Logan Sargeant,China,Soft New,1,12,12,2024,
Lando Norris,Miami,Medium New,1,29,29,2024,
Lando Norris,Miami,Hard New,30,57,28,2024,
Max Verstappen,Miami,Medium New,1,23,23,2024,
Max Verstappen,Miami,Hard New,24,57,34,2024,
Charles Leclerc,Miami,Medium New,1,19,19,2024,
Charles Leclerc,Miami,Hard New,20,57,38,2024,
Carlos Sainz,Miami,Medium New,1,27,27,2024,
Carlos Sainz,Miami,Hard New,28,57,30,2024,
Sergio Perez,Miami,Medium New,1,17,17,2024,
Sergio Perez,Miami,Hard New,18,28,11,2024,
Sergio Perez,Miami,Medium Used,29,57,29,2024,
Lewis Hamilton,Miami,Hard New,1,26,26,2024,
Lewis Hamilton,Miami,Medium Used,27,57,31,2024,
Yuki Tsunoda,Miami,Medium New,1,28,28,2024,
Yuki Tsunoda,Miami,Hard New,29,57,29,2024,
George Russell,Miami,Medium Used,1,24,24,2024,
George Russell,Miami,Hard New,25,57,33,2024,
Fernando Alonso,Miami,Hard Used,1,22,22,2024,
Fernando Alonso,Miami,Medium Used,23,57,35,2024,
Esteban Ocon,Miami,Medium New,1,22,22,2024,
Esteban Ocon,Miami,Hard New,23,57,35,2024,
Nico Hulkenberg,Miami,Medium New,1,12,12,2024,
Nico Hulkenberg,Miami,Hard New,13,28,16,2024,
Nico Hulkenberg,Miami,Medium New,29,57,29,2024,
Pierre Gasly,Miami,Medium New,1,12,12,2024,
Pierre Gasly,Miami,Hard New,13,57,45,2024,
Oscar Piastri,Miami,Medium New,1,27,27,2024,
Oscar Piastri,Miami,Hard New,28,40,13,2024,
Oscar Piastri,Miami,Medium Used,41,57,17,2024,
Zhou Guanyu,Miami,Medium New,1,28,28,2024,
Zhou Guanyu,Miami,Soft New,29,57,29,2024,
Daniel Ricciardo,Miami,Hard New,1,28,28,2024,
Daniel Ricciardo,Miami,Medium Used,29,57,29,2024,
Valtteri Bottas,Miami,Soft New,1,11,11,2024,
Valtteri Bottas,Miami,Hard New,12,29,18,2024,
Valtteri Bottas,Miami,Medium New,30,57,28,2024,
Lance Stroll,Miami,Hard Used,12,28,17,2024,
Lance Stroll,Miami,Medium Used,29,57,29,2024,
Kevin Magnussen,Miami,Hard New,1,22,22,2024,
Kevin Magnussen,Miami,Medium New,23,28,6,2024,
Kevin Magnussen,Miami,Medium New,29,57,29,2024,
Alexander Albon,Miami,Medium New,1,10,10,2024,
Alexander Albon,Miami,Hard New,11,53,43,2024,
Alexander Albon,Miami,Soft New,54,57,4,2024,
Logan Sargeant,Miami,Medium New,1,11,11,2024,
Logan Sargeant,Miami,Hard New,12,27,16,2024,
Lance Stroll,Miami,Medium Used,1,11,11,2024,
Lando Norris,Imola,Medium New,1,22,22,2024,
Lando Norris,Imola,Hard Used,23,63,41,2024,
Charles Leclerc,Imola,Medium New,1,25,25,2024,
Charles Leclerc,Imola,Hard New,26,63,38,2024,
Oscar Piastri,Imola,Medium New,1,23,23,2024,
Oscar Piastri,Imola,Hard Used,24,63,40,2024,
Carlos Sainz,Imola,Medium New,1,27,27,2024,
Carlos Sainz,Imola,Hard New,28,63,36,2024,
Lewis Hamilton,Imola,Medium New,1,27,27,2024,
Lewis Hamilton,Imola,Hard New,28,63,36,2024,
George Russell,Imola,Medium New,1,21,21,2024,
George Russell,Imola,Hard New,22,52,31,2024,
George Russell,Imola,Medium Used,53,63,11,2024,
Sergio Perez,Imola,Hard New,1,37,37,2024,
Sergio Perez,Imola,Medium New,38,63,26,2024,
Lance Stroll,Imola,Medium Used,1,37,37,2024,
Lance Stroll,Imola,Hard Used,38,63,26,2024,
Yuki Tsunoda,Imola,Medium New,1,12,12,2024,
Yuki Tsunoda,Imola,Hard New,13,62,50,2024,
Nico Hulkenberg,Imola,Medium New,1,13,13,2024,
Nico Hulkenberg,Imola,Hard New,14,62,49,2024,
Kevin Magnussen,Imola,Medium New,1,37,37,2024,
Kevin Magnussen,Imola,Hard New,38,62,25,2024,
Daniel Ricciardo,Imola,Medium New,1,11,11,2024,
Daniel Ricciardo,Imola,Hard New,12,62,51,2024,
Esteban Ocon,Imola,Medium New,1,25,25,2024,
Esteban Ocon,Imola,Hard New,26,62,37,2024,
Zhou Guanyu,Imola,Hard New,1,33,33,2024,
Zhou Guanyu,Imola,Medium New,34,62,29,2024,
Pierre Gasly,Imola,Soft New,1,8,8,2024,
Pierre Gasly,Imola,Hard New,9,30,22,2024,
Pierre Gasly,Imola,Medium New,31,62,32,2024,
Logan Sargeant,Imola,Hard New,1,31,31,2024,
Logan Sargeant,Imola,Medium New,32,62,31,2024,
Valtteri Bottas,Imola,Medium New,1,8,8,2024,
Valtteri Bottas,Imola,Hard New,9,62,54,2024,
Fernando Alonso,Imola,Soft New,1,7,7,2024,
Fernando Alonso,Imola,Hard Used,8,40,33,2024,
Fernando Alonso,Imola,Medium Used,41,59,19,2024,
Fernando Alonso,Imola,Soft New,60,62,3,2024,
Alexander Albon,Imola,Medium New,1,8,8,2024,
Alexander Albon,Imola,Medium Used,9,9,1,2024,
Alexander Albon,Imola,Medium Used,10,28,19,2024,
Alexander Albon,Imola,Medium Used,29,51,23,2024,
Max Verstappen,Imola,Medium New,1,24,24,2024,
Max Verstappen,Imola,Hard New,25,63,39,2024,
Charles Leclerc,Monaco,Medium New,1,1,1,2024,
Charles Leclerc,Monaco,Hard New,2,78,77,2024,
Oscar Piastri,Monaco,Medium Used,1,1,1,2024,
Oscar Piastri,Monaco,Hard Used,2,78,77,2024,
Carlos Sainz,Monaco,Medium New,1,1,1,2024,
Carlos Sainz,Monaco,Hard New,2,78,77,2024,
Lando Norris,Monaco,Medium Used,1,1,1,2024,
Lando Norris,Monaco,Hard Used,2,78,77,2024,
George Russell,Monaco,Hard New,1,1,1,2024,
George Russell,Monaco,Medium New,2,78,77,2024,
Max Verstappen,Monaco,Hard New,1,1,1,2024,
Lewis Hamilton,Monaco,Hard New,1,1,1,2024,
Lewis Hamilton,Monaco,Medium New,2,51,50,2024,
Lewis Hamilton,Monaco,Hard Used,52,78,27,2024,
Max Verstappen,Monaco,Medium New,2,52,51,2024,
Max Verstappen,Monaco,Hard Used,53,78,26,2024,
Yuki Tsunoda,Monaco,Medium New,1,1,1,2024,
Yuki Tsunoda,Monaco,Hard Used,2,77,76,2024,
Alexander Albon,Monaco,Medium New,1,1,1,2024,
Pierre Gasly,Monaco,Hard New,1,1,1,2024,
Pierre Gasly,Monaco,Medium New,2,77,76,2024,
Fernando Alonso,Monaco,Hard Used,1,1,1,2024,
Fernando Alonso,Monaco,Medium Used,2,76,75,2024,
Daniel Ricciardo,Monaco,Medium New,1,1,1,2024,
Daniel Ricciardo,Monaco,Hard Used,2,76,75,2024,
Valtteri Bottas,Monaco,Hard New,1,1,1,2024,
Valtteri Bottas,Monaco,Medium New,2,15,14,2024,
Valtteri Bottas,Monaco,Hard Used,16,76,61,2024,
Lance Stroll,Monaco,Hard Used,1,1,1,2024,
Lance Stroll,Monaco,Medium Used,2,42,41,2024,
Lance Stroll,Monaco,Hard Used,43,48,6,2024,
Lance Stroll,Monaco,Soft New,49,76,28,2024,
Logan Sargeant,Monaco,Hard New,1,57,57,2024,
Logan Sargeant,Monaco,Medium New,58,76,19,2024,
Zhou Guanyu,Monaco,Medium New,1,1,1,2024,
Zhou Guanyu,Monaco,Hard New,2,70,69,2024,
Zhou Guanyu,Monaco,Soft New,71,76,6,2024,
Esteban Ocon,Monaco,Hard New,1,1,1,2024,
Sergio Perez,Monaco,Hard New,1,1,1,2024,
Nico Hulkenberg,Monaco,Medium New,1,1,1,2024,
Kevin Magnussen,Monaco,Hard New,1,1,1,2024,
Alexander Albon,Monaco,Hard New,2,77,76,2024,
Max Verstappen,Canada,Intermediate New,1,25,25,2024,
Max Verstappen,Canada,Intermediate New,26,45,20,2024,
Max Verstappen,Canada,Medium New,46,70,25,2024,
Lando Norris,Canada,Intermediate New,1,26,26,2024,
Lando Norris,Canada,Intermediate New,27,47,21,2024,
Lando Norris,Canada,Medium New,48,70,23,2024,
George Russell,Canada,Intermediate New,1,25,25,2024,
George Russell,Canada,Hard New,46,54,9,2024,
George Russell,Canada,Medium New,55,70,16,2024,
Lewis Hamilton,Canada,Intermediate New,1,25,25,2024,
Lewis Hamilton,Canada,Intermediate New,26,43,18,2024,
Lewis Hamilton,Canada,Medium New,44,54,11,2024,
Lewis Hamilton,Canada,Hard New,55,70,16,2024,
Oscar Piastri,Canada,Intermediate New,26,44,19,2024,
Oscar Piastri,Canada,Medium New,45,70,26,2024,
Fernando Alonso,Canada,Intermediate New,1,25,25,2024,
Fernando Alonso,Canada,Intermediate New,26,44,19,2024,
Fernando Alonso,Canada,Hard New,45,70,26,2024,
Lance Stroll,Canada,Intermediate New,1,25,25,2024,
Lance Stroll,Canada,Intermediate New,26,44,19,2024,
Lance Stroll,Canada,Hard Used,45,70,26,2024,
Daniel Ricciardo,Canada,Intermediate New,1,26,26,2024,
Daniel Ricciardo,Canada,Intermediate New,27,43,17,2024,
Daniel Ricciardo,Canada,Medium Used,44,70,27,2024,
Pierre Gasly,Canada,Intermediate New,1,25,25,2024,
Pierre Gasly,Canada,Intermediate New,26,40,15,2024,
Pierre Gasly,Canada,Hard New,41,70,30,2024,
Esteban Ocon,Canada,Medium New,45,70,26,2024,
Nico Hulkenberg,Canada,Wet New,1,12,12,2024,
Nico Hulkenberg,Canada,Intermediate New,13,25,13,2024,
Nico Hulkenberg,Canada,Intermediate New,26,44,19,2024,
Nico Hulkenberg,Canada,Medium New,45,70,26,2024,
Kevin Magnussen,Canada,Wet New,1,7,7,2024,
Kevin Magnussen,Canada,Intermediate New,8,25,18,2024,
Kevin Magnussen,Canada,Intermediate New,26,41,16,2024,
Kevin Magnussen,Canada,Medium New,42,54,13,2024,
Kevin Magnussen,Canada,Medium New,55,70,16,2024,
Valtteri Bottas,Canada,Intermediate New,1,42,42,2024,
Valtteri Bottas,Canada,Medium New,43,70,28,2024,
Yuki Tsunoda,Canada,Intermediate New,1,44,44,2024,
Yuki Tsunoda,Canada,Medium New,45,70,26,2024,
Zhou Guanyu,Canada,Intermediate New,1,24,24,2024,
Zhou Guanyu,Canada,Intermediate New,25,44,20,2024,
Zhou Guanyu,Canada,Medium New,45,52,8,2024,
Zhou Guanyu,Canada,Medium New,53,69,17,2024,
Carlos Sainz,Canada,Intermediate New,1,25,25,2024,
Carlos Sainz,Canada,Intermediate New,26,43,18,2024,
Carlos Sainz,Canada,Medium New,44,52,9,2024,
Alexander Albon,Canada,Intermediate New,1,25,25,2024,
Alexander Albon,Canada,Intermediate New,26,44,19,2024,
Alexander Albon,Canada,Medium New,45,52,8,2024,
Sergio Perez,Canada,Intermediate New,1,25,25,2024,
Sergio Perez,Canada,Intermediate New,26,43,18,2024,
Sergio Perez,Canada,Medium New,44,51,8,2024,
Charles Leclerc,Canada,Intermediate New,1,25,25,2024,
Charles Leclerc,Canada,Intermediate New,26,28,3,2024,
Charles Leclerc,Canada,Hard New,29,31,3,2024,
Charles Leclerc,Canada,Intermediate New,32,40,9,2024,
Logan Sargeant,Canada,Intermediate New,1,23,23,2024,
Esteban Ocon,Canada,Intermediate New,1,44,44,2024,
Oscar Piastri,Canada,Intermediate New,1,25,25,2024,
George Russell,Canada,Intermediate New,26,45,20,2024,
Max Verstappen,Spain,Soft Used,1,17,17,2024,
Max Verstappen,Spain,Medium New,18,44,27,2024,
Max Verstappen,Spain,Soft New,45,66,22,2024,
Lando Norris,Spain,Soft New,1,23,23,2024,
Lando Norris,Spain,Medium New,24,47,24,2024,
Lando Norris,Spain,Soft Used,48,66,19,2024,
Lewis Hamilton,Spain,Soft Used,1,16,16,2024,
Lewis Hamilton,Spain,Medium New,17,43,27,2024,
Lewis Hamilton,Spain,Soft Used,44,66,23,2024,
George Russell,Spain,Soft Used,1,15,15,2024,
George Russell,Spain,Medium New,16,36,21,2024,
George Russell,Spain,Hard New,37,66,30,2024,
Charles Leclerc,Spain,Soft New,1,24,24,2024,
Charles Leclerc,Spain,Medium New,25,47,23,2024,
Charles Leclerc,Spain,Soft Used,48,66,19,2024,
Carlos Sainz,Spain,Soft New,1,15,15,2024,
Carlos Sainz,Spain,Medium New,16,36,21,2024,
Carlos Sainz,Spain,Hard New,37,66,30,2024,
Oscar Piastri,Spain,Soft Used,1,21,21,2024,
Oscar Piastri,Spain,Medium New,22,46,25,2024,
Sergio Perez,Spain,Soft Used,1,13,13,2024,
Sergio Perez,Spain,Soft Used,14,31,18,2024,
Sergio Perez,Spain,Medium New,32,49,18,2024,
Sergio Perez,Spain,Soft Used,50,66,17,2024,
Pierre Gasly,Spain,Soft Used,1,14,14,2024,
Pierre Gasly,Spain,Medium New,15,38,24,2024,
Pierre Gasly,Spain,Hard New,39,66,28,2024,
Esteban Ocon,Spain,Soft Used,1,13,13,2024,
Esteban Ocon,Spain,Medium New,14,37,24,2024,
Esteban Ocon,Spain,Hard New,38,66,29,2024,
Nico Hulkenberg,Spain,Soft New,1,12,12,2024,
Nico Hulkenberg,Spain,Medium New,13,38,26,2024,
Nico Hulkenberg,Spain,Hard New,39,66,28,2024,
Fernando Alonso,Spain,Soft New,1,19,19,2024,
Fernando Alonso,Spain,Hard Used,46,65,20,2024,
Zhou Guanyu,Spain,Soft New,1,8,8,2024,
Zhou Guanyu,Spain,Medium New,9,41,33,2024,
Zhou Guanyu,Spain,Hard New,42,65,24,2024,
Lance Stroll,Spain,Soft New,1,17,17,2024,
Lance Stroll,Spain,Medium Used,18,37,20,2024,
Lance Stroll,Spain,Hard Used,38,65,28,2024,
Daniel Ricciardo,Spain,Soft New,1,16,16,2024,
Daniel Ricciardo,Spain,Medium New,17,42,26,2024,
Daniel Ricciardo,Spain,Hard New,43,65,23,2024,
Valtteri Bottas,Spain,Soft New,1,11,11,2024,
Valtteri Bottas,Spain,Soft Used,12,28,17,2024,
Valtteri Bottas,Spain,Hard New,29,65,37,2024,
Kevin Magnussen,Spain,Soft New,1,10,10,2024,
Kevin Magnussen,Spain,Medium New,11,29,19,2024,
Kevin Magnussen,Spain,Hard New,30,65,36,2024,
Alexander Albon,Spain,Medium New,1,18,18,2024,
Alexander Albon,Spain,Soft New,19,43,25,2024,
Alexander Albon,Spain,Soft New,44,65,22,2024,
Yuki Tsunoda,Spain,Soft New,1,9,9,2024,
Yuki Tsunoda,Spain,Medium New,10,27,18,2024,
Yuki Tsunoda,Spain,Hard New,28,44,17,2024,
Yuki Tsunoda,Spain,Soft New,45,65,21,2024,
Logan Sargeant,Spain,Soft New,1,14,14,2024,
Logan Sargeant,Spain,Medium New,15,34,20,2024,
Logan Sargeant,Spain,Hard New,35,64,30,2024,
Oscar Piastri,Spain,Soft Used,47,66,20,2024,
Fernando Alonso,Spain,Medium Used,20,45,26,2024,
George Russell,Austria,Medium New,1,22,22,2024,
George Russell,Austria,Medium New,23,46,24,2024,
George Russell,Austria,Hard New,47,71,25,2024,
Oscar Piastri,Austria,Medium New,1,25,25,2024,
Oscar Piastri,Austria,Hard Used,26,51,26,2024,
Oscar Piastri,Austria,Medium New,52,71,20,2024,
Carlos Sainz,Austria,Medium New,1,22,22,2024,
Carlos Sainz,Austria,Hard New,23,47,25,2024,
Carlos Sainz,Austria,Medium New,48,71,24,2024,
Lewis Hamilton,Austria,Medium New,1,21,21,2024,
Lewis Hamilton,Austria,Hard New,22,53,32,2024,
Lewis Hamilton,Austria,Medium New,54,71,18,2024,
Max Verstappen,Austria,Medium New,1,23,23,2024,
Max Verstappen,Austria,Hard New,24,51,28,2024,
Max Verstappen,Austria,Medium Used,52,64,13,2024,
Max Verstappen,Austria,Soft Used,65,71,7,2024,
Nico Hulkenberg,Austria,Medium New,1,11,11,2024,
Nico Hulkenberg,Austria,Hard New,12,39,28,2024,
Nico Hulkenberg,Austria,Hard New,40,71,32,2024,
Sergio Perez,Austria,Medium New,1,21,21,2024,
Sergio Perez,Austria,Hard New,22,51,30,2024,
